Название,Артикул,Категория,Цена без карты,Цена с картой
Коньково-карнизная черепица DOCKE Gold Трюфель,10361501,Строительные материалы,4 401.47 ₽,4 181.40 ₽
Коньково-карнизная черепица DOCKE Gold Мята,10379801,Строительные материалы,4 400.07 ₽,4 180.07 ₽
Коньково-карнизная черепица DOCKE Gold Фладен-канноли,10380101,Строительные материалы,4 402.87 ₽,4 182.73 ₽
Коньково-карнизная черепица DOCKE Gold Кунжут-миндаль,10379701,Строительные материалы,4 398.67 ₽,4 178.74 ₽
Коньково-карнизная черепица DOCKE Gold Кофе,10379601,Строительные материалы,4 397.27 ₽,4 177.41 ₽
Коньково-карнизная черепица DOCKE Gold Корица,10379501,Строительные материалы,4 395.87 ₽,4 176.08 ₽
Коньково-карнизная черепица DOCKE Gold Инжир-клубника,10361401,Строительные материалы,4 393.07 ₽,4 173.42 ₽
Коньково-карнизная черепица DOCKE Pie Gold Какао,10379301,Строительные материалы,4 394.47 ₽,4 174.75 ₽
Коньково-карнизная черепица DOCKE Gold Имбирь,10379101,Строительные материалы,4 391.67 ₽,4 172.09 ₽
Коньково-карнизная черепица DOCKE Gold Бисквит,10378801,Строительные материалы,4 390.27 ₽,4 170.76 ₽
Коньково-карнизная черепица DOCKE Simple зелёная,10361601,Строительные материалы,4 278.01 ₽,4 064.11 ₽
Коньково-карнизная черепица DOCKE Gold Амаретто,10378401,Строительные материалы,4 387.47 ₽,4 168.10 ₽
Коньково-карнизная черепица DOCKE Pie Simple коричневая,19871401,Строительные материалы,4 278.01 ₽,4 064.11 ₽
Коньково-карнизная черепица DOCKE Gold Арахис,10378601,Строительные материалы,4 388.87 ₽,4 169.43 ₽
Гибкая черепица DOCKE Gold Цюрих Изюм,10376701,Строительные материалы,2 399.17 ₽,2 279.21 ₽
Подкладочный ковёр DOCKE D-Basis Comfort Glass 30м,10381001,Строительные материалы,3 449.60 ₽,3 277.12 ₽
Коньково-карнизная черепица ТЕХНОНИКОЛЬ Shinglas Светло-коричневая,16408201,Строительные материалы,2 849.00 ₽,2 706.55 ₽
Гибкая черепица DOCKE Pie Premium Льеж вагаси,22193701,Строительные материалы,2 399.00 ₽,2 279.05 ₽
Гибкая черепица DOCKE Gold Цюрих Чили,10377001,Строительные материалы,2 403.37 ₽,2 283.20 ₽
Гибкая черепица DOCKE Gold Цюрих Арахис,10376601,Строительные материалы,2 397.77 ₽,2 277.88 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Вестерн Прерия,22273501,Строительные материалы,2 349.00 ₽,2 231.55 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Вестерн Клондайк,22273401,Строительные материалы,2 349.00 ₽,2 231.55 ₽
Гибкая черепица DOCKE Gold Гранада Кунжут,10375201,Строительные материалы,1 983.46 ₽,1 884.29 ₽
Гибкая черепица DOCKE Gold Гранада Какао,10375001,Строительные материалы,1 980.66 ₽,1 881.63 ₽
Гибкая черепица DOCKE Gold Шеффилд Миндаль,10377401,Строительные материалы,1 980.66 ₽,1 881.63 ₽
Гибкая черепица DOCKE Gold Генуя Трюфель,10360501,Строительные материалы,1 979.26 ₽,1 880.30 ₽
Гибкая черепица DOCKE Gold Гранада Кофе,10375101,Строительные материалы,1 982.06 ₽,1 882.96 ₽
Гибкая черепица DOCKE Gold Шеффилд Кофе,10377301,Строительные материалы,1 979.26 ₽,1 880.30 ₽
Гибкая черепица DOCKE Pie Gold Генуя Амаретто,10374401,Строительные материалы,1 976.46 ₽,1 877.64 ₽
Гибкая черепица DOCKE Gold Шеффилд Клубника,10360601,Строительные материалы,1 977.86 ₽,1 878.97 ₽
Гибкая черепица DOCKE Pie Gold Генуя Канноли,10374501,Строительные материалы,1 977.86 ₽,1 878.97 ₽
Гибкая черепица DOCKE Gold Кёльн Чернослив,10375601,Строительные материалы,1 923.12 ₽,1 826.96 ₽
Гибкая черепица DOCKE Gold Кёльн Мята,10375501,Строительные материалы,1 921.72 ₽,1 825.63 ₽
Гибкая черепица DOCKE Gold Кёльн Корица,10375401,Строительные материалы,1 920.32 ₽,1 824.30 ₽
Гибкая черепица DOCKE Gold Кёльн Имбирь,10375301,Строительные материалы,1 918.92 ₽,1 822.97 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Кантри Алабама,22273901,Строительные материалы,1 899.00 ₽,1 804.05 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Румба арахис,19194101,Строительные материалы,1 899.00 ₽,1 804.05 ₽
Гибкая черепица DOCKE Gold Шеффилд Бисквит,10377101,Строительные материалы,1 976.46 ₽,1 877.64 ₽
Гибкая черепица DOCKE Pie Basic Лабиринт Коричневая,22028601,Строительные материалы,885.00 ₽,840.75 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Джаз Терра,22273601,Строительные материалы,1 899.00 ₽,1 804.05 ₽
Гибкая черепица DOCKE Simple Кольчуга красная,10377801,Строительные материалы,1 793.32 ₽,1 703.65 ₽
Коньково-карнизная черепица ТЕХНОНИКОЛЬ Shinglas серая,19194301,Строительные материалы,1 899.00 ₽,1 804.05 ₽
Коньково-карнизная черепица ТЕХНОНИКОЛЬ Бронзовый микс,19194201,Строительные материалы,1 899.00 ₽,1 804.05 ₽
Коньково-карнизная черепица ТЕХНОНИКОЛЬ Shinglas Коричневый микс,13662201,Строительные материалы,1 732.98 ₽,1 646.33 ₽
Коньково-карнизная черепица ТЕХНОНИКОЛЬ Shinglas Зелёный микс,13661301,Строительные материалы,1 732.98 ₽,1 646.33 ₽
Коньково-карнизная черепица ТЕХНОНИКОЛЬ Shinglas Красный микс,13662901,Строительные материалы,1 732.98 ₽,1 646.33 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Финская Аккорд коричневый,19258401,Строительные материалы,1 199.00 ₽,1 139.05 ₽
Гибкая черепица DOCKE Pie Europa Карат Красный,20359701,Строительные материалы,1 163.42 ₽,1 105.25 ₽
Гибкая черепица DOCKE Pie Europa Karat Коричневая,20359601,Строительные материалы,1 163.42 ₽,1 105.25 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Финская Соната красная,12803801,Строительные материалы,1 069.98 ₽,1 016.48 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Финская Соната коричневая,12803701,Строительные материалы,1 069.98 ₽,1 016.48 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Фазенда серая,22274301,Строительные материалы,1 049.00 ₽,996.55 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Финская Соната зелёная,12803601,Строительные материалы,1 069.98 ₽,1 016.48 ₽
"Гвозди ершенные ТЕХНОНИКОЛЬ Shinglas 30х3,5мм",12881001,Строительные материалы,1 062.84 ₽,1 009.70 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Фазенда красная,22274201,Строительные материалы,1 049.00 ₽,996.55 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Фазенда коричневая,22274101,Строительные материалы,1 049.00 ₽,996.55 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Ранчо коричневая,12803901,Строительные материалы,1 004.70 ₽,954.46 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Ранчо бронза,19258301,Строительные материалы,975.00 ₽,926.25 ₽
"Шифер 8-волновой серый 1750x1130x5,2мм",8320801,Строительные материалы,385.56 ₽,366.28 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Ранчо красный,12804001,Строительные материалы,830.28 ₽,788.77 ₽
Шифер плоский непрессованный Стандарт 1570х1200х6мм,16279701,Строительные материалы,489.60 ₽,465.12 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Оптима красный,23044701,Строительные материалы,780.04 ₽,741.04 ₽
"Гвозди ершенные ТЕХНОНИКОЛЬ Shinglas 30х3,5мм 200г",22369401,Строительные материалы,49.00 ₽,46.55 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Оптима коричневый,23044501,Строительные материалы,780.04 ₽,741.04 ₽
Гибкая черепица DOCKE Simple Кольчуга зелёная,10377601,Строительные материалы,1 793.32 ₽,1 703.65 ₽
Гибкая черепица DOCKE Simple Кольчуга коричневая,10377701,Строительные материалы,1 793.32 ₽,1 703.65 ₽
Подкладочный ковёр DOCKE D-Basis Comfort Glass 15м,10380901,Строительные материалы,1 727.60 ₽,1 641.22 ₽
Гибкая черепица DOCKE Simple Тетрис коричневая,10360901,Строительные материалы,1 554.67 ₽,1 476.94 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Комфорт Болеро Граунд,22273701,Строительные материалы,1 549.00 ₽,1 471.55 ₽
Гибкая черепица DOCKE Simple Сота серая,10378001,Строительные материалы,1 515.57 ₽,1 439.79 ₽
Гибкая черепица DOCKE Simple Сота красная,10360801,Строительные материалы,1 514.17 ₽,1 438.46 ₽
Гибкая черепица DOCKE Simple Сота коричневая,10377901,Строительные материалы,1 512.77 ₽,1 437.13 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Комфорт Сальса Жимолость,22273801,Строительные материалы,1 549.00 ₽,1 471.55 ₽
Гибкая черепица DOCKE Simple Сота зелёная,10360701,Строительные материалы,1 511.37 ₽,1 435.80 ₽
Подкладочный ковёр DOCKE D-Basis Standart Plus,10381101,Строительные материалы,1 399.33 ₽,1 329.36 ₽
Подкладочный ковёр DOCKE D-Basis Standart,10362101,Строительные материалы,1 324.64 ₽,1 258.41 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Финская Аккорд красная,19194501,Строительные материалы,1 249.00 ₽,1 186.55 ₽
Гибкая черепица DOCKE Simple Тетрис красная,10378101,Строительные материалы,1 554.67 ₽,1 476.94 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Финская Соната серая,19194701,Строительные материалы,1 249.00 ₽,1 186.55 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Финская Аккорд зеленая,19194401,Строительные материалы,1 249.00 ₽,1 186.55 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Shinglas Фазенда зелёная,22274001,Строительные материалы,1 049.00 ₽,996.55 ₽
Гибкая черепица ТЕХНОНИКОЛЬ Финская Аккорд серая,19194601,Строительные материалы,1 249.00 ₽,1 186.55 ₽
